mode,section,cluster,count,section_fraction
joint,Human_Lymph_Node_A1,0,385,0.11050516647531573
joint,Human_Lymph_Node_A1,1,169,0.048507462686567165
joint,Human_Lymph_Node_A1,2,308,0.08840413318025259
joint,Human_Lymph_Node_A1,3,260,0.07462686567164178
joint,Human_Lymph_Node_A1,4,174,0.04994259471871412
joint,Human_Lymph_Node_A1,5,314,0.09012629161882893
joint,Human_Lymph_Node_A1,6,457,0.13117106773823192
joint,Human_Lymph_Node_A1,7,366,0.10505166475315729
joint,Human_Lymph_Node_A1,8,73,0.02095292766934558
joint,Human_Lymph_Node_A1,9,316,0.09070034443168772
joint,Human_Lymph_Node_A1,10,446,0.12801377726750862
joint,Human_Lymph_Node_A1,11,216,0.06199770378874857
joint,Human_Lymph_Node_D1,0,361,0.10747246204227448
joint,Human_Lymph_Node_D1,1,168,0.05001488538255433
joint,Human_Lymph_Node_D1,2,321,0.09556415599880917
joint,Human_Lymph_Node_D1,3,228,0.06787734444775231
joint,Human_Lymph_Node_D1,4,150,0.04465614766299494
joint,Human_Lymph_Node_D1,5,268,0.07978565049121762
joint,Human_Lymph_Node_D1,6,454,0.13515927359333135
joint,Human_Lymph_Node_D1,7,364,0.10836558499553439
joint,Human_Lymph_Node_D1,8,69,0.020541827924977673
joint,Human_Lymph_Node_D1,9,312,0.09288478713902948
joint,Human_Lymph_Node_D1,10,479,0.14260196487049717
joint,Human_Lymph_Node_D1,11,185,0.055075915451027094
