section,cluster,count,fraction
Human_Lymph_Node_A1,0,365,0.1047646383467279
Human_Lymph_Node_A1,1,445,0.1277267508610792
Human_Lymph_Node_A1,2,1180,0.338691159586682
Human_Lymph_Node_A1,3,253,0.07261768082663606
Human_Lymph_Node_A1,4,1241,0.35619977037887485
Human_Lymph_Node_D1,0,304,0.09050312593033641
Human_Lymph_Node_D1,1,392,0.11670139922596011
Human_Lymph_Node_D1,2,1171,0.34861565942244715
Human_Lymph_Node_D1,3,219,0.0651979755879726
Human_Lymph_Node_D1,4,1273,0.3789818398332837
